image,object,precision,recall,map50,map50_95,inference_time_ms,fps
marine_marine-debris-aris3k-1452.png,bottle,0.995,1.0,0.995,0.8172,13.54,73.84
marine_marine-debris-aris3k-1460.png,drink-carton,1.0,0.9652,0.995,0.7008,15.95,62.69
marine_marine-debris-aris3k-1482.png,shampoo-bottle,0.9723,1.0,0.995,0.8954,16.6,60.25
marine_marine-debris-aris3k-1485.png,can,1.0,0.9803,0.995,0.8382,16.51,60.58
marine_marine-debris-aris3k-1486.png,drink-carton,1.0,0.9652,0.995,0.7008,15.65,63.88
marine_marine-debris-aris3k-149.png,chain,0.9801,0.7895,0.9215,0.6288,16.17,61.84
marine_marine-debris-aris3k-1491.png,valve,1.0,0.9915,0.995,0.7755,19.67,50.84
marine_marine-debris-aris3k-1495.png,valve,1.0,0.9915,0.995,0.7755,14.72,67.93
marine_marine-debris-aris3k-1504.png,drink-carton,1.0,0.9652,0.995,0.7008,15.63,63.98
marine_marine-debris-aris3k-151.png,bottle,0.995,1.0,0.995,0.8172,14.92,67.02
marine_marine-debris-aris3k-151.png,bottle,0.995,1.0,0.995,0.8172,14.92,67.02
marine_marine-debris-aris3k-1530.png,drink-carton,1.0,0.9652,0.995,0.7008,14.02,71.33
marine_marine-debris-aris3k-1538.png,bottle,0.995,1.0,0.995,0.8172,14.12,70.83
marine_marine-debris-aris3k-1578.png,standing-bottle,0.9501,1.0,0.995,0.858,13.45,74.35
marine_marine-debris-aris3k-158.png,drink-carton,1.0,0.9652,0.995,0.7008,15.21,65.75
marine_marine-debris-aris3k-1596.png,bottle,0.995,1.0,0.995,0.8172,16.82,59.45
marine_marine-debris-aris3k-1618.png,drink-carton,1.0,0.9652,0.995,0.7008,15.95,62.69
marine_marine-debris-aris3k-1624.png,propeller,0.9694,1.0,0.995,0.734,16.26,61.51
marine_marine-debris-aris3k-1624.png,hook,1.0,1.0,0.995,0.8723,16.26,61.51
marine_marine-debris-aris3k-1631.png,drink-carton,1.0,0.9652,0.995,0.7008,15.03,66.52
marine_marine-debris-aris3k-1652.png,chain,0.9801,0.7895,0.9215,0.6288,16.1,62.09
marine_marine-debris-aris3k-166.png,chain,0.9801,0.7895,0.9215,0.6288,18.77,53.27
marine_marine-debris-aris3k-166.png,drink-carton,1.0,0.9652,0.995,0.7008,18.77,53.27
marine_marine-debris-aris3k-1664.png,can,1.0,0.9803,0.995,0.8382,14.85,67.35
marine_marine-debris-aris3k-1665.png,can,1.0,0.9803,0.995,0.8382,15.11,66.19
marine_marine-debris-aris3k-1670.png,can,1.0,0.9803,0.995,0.8382,14.1,70.94
marine_marine-debris-aris3k-1680.png,propeller,0.9694,1.0,0.995,0.734,15.47,64.65
marine_marine-debris-aris3k-1680.png,hook,1.0,1.0,0.995,0.8723,15.47,64.65
marine_marine-debris-aris3k-1696.png,can,1.0,0.9803,0.995,0.8382,15.03,66.51
marine_marine-debris-aris3k-1698.png,can,1.0,0.9803,0.995,0.8382,14.83,67.44
marine_marine-debris-aris3k-1699.png,drink-carton,1.0,0.9652,0.995,0.7008,14.73,67.89
marine_marine-debris-aris3k-1700.png,drink-carton,1.0,0.9652,0.995,0.7008,16.29,61.37
marine_marine-debris-aris3k-1707.png,drink-carton,1.0,0.9652,0.995,0.7008,16.19,61.76
marine_marine-debris-aris3k-1727.png,chain,0.9801,0.7895,0.9215,0.6288,16.59,60.28
marine_marine-debris-aris3k-1733.png,tire,1.0,0.9799,0.995,0.8241,16.33,61.25
marine_marine-debris-aris3k-1733.png,bottle,0.995,1.0,0.995,0.8172,16.33,61.25
marine_marine-debris-aris3k-1737.png,can,1.0,0.9803,0.995,0.8382,15.71,63.65
marine_marine-debris-aris3k-1771.png,can,1.0,0.9803,0.995,0.8382,14.29,69.98
marine_marine-debris-aris3k-1776.png,can,1.0,0.9803,0.995,0.8382,15.53,64.38
marine_marine-debris-aris3k-1777.png,can,1.0,0.9803,0.995,0.8382,20.51,48.77
marine_marine-debris-aris3k-1788.png,valve,1.0,0.9915,0.995,0.7755,15.13,66.1
marine_marine-debris-aris3k-1825.png,tire,1.0,0.9799,0.995,0.8241,14.16,70.64
marine_marine-debris-aris3k-1825.png,bottle,0.995,1.0,0.995,0.8172,14.16,70.64
marine_marine-debris-aris3k-1833.png,hook,1.0,1.0,0.995,0.8723,15.6,64.09
marine_marine-debris-aris3k-1833.png,tire,1.0,0.9799,0.995,0.8241,15.6,64.09
marine_marine-debris-aris3k-1843.png,drink-carton,1.0,0.9652,0.995,0.7008,14.73,67.89
marine_marine-debris-aris3k-1844.png,shampoo-bottle,0.9723,1.0,0.995,0.8954,13.93,71.77
marine_marine-debris-aris3k-185.png,can,1.0,0.9803,0.995,0.8382,14.94,66.93
marine_marine-debris-aris3k-1860.png,can,1.0,0.9803,0.995,0.8382,16.51,60.57
marine_marine-debris-aris3k-226.png,drink-carton,1.0,0.9652,0.995,0.7008,15.97,62.61
marine_marine-debris-aris3k-237.png,propeller,0.9694,1.0,0.995,0.734,15.62,64.01
marine_marine-debris-aris3k-248.png,shampoo-bottle,0.9723,1.0,0.995,0.8954,15.51,64.49
marine_marine-debris-aris3k-256.png,bottle,0.995,1.0,0.995,0.8172,13.91,71.88
marine_marine-debris-aris3k-256.png,tire,1.0,0.9799,0.995,0.8241,13.91,71.88
marine_marine-debris-aris3k-292.png,bottle,0.995,1.0,0.995,0.8172,15.0,66.65
marine_marine-debris-aris3k-292.png,tire,1.0,0.9799,0.995,0.8241,15.0,66.65
marine_marine-debris-aris3k-300.png,valve,1.0,0.9915,0.995,0.7755,16.39,61.01
marine_marine-debris-aris3k-305.png,bottle,0.995,1.0,0.995,0.8172,14.23,70.26
marine_marine-debris-aris3k-305.png,tire,1.0,0.9799,0.995,0.8241,14.23,70.26
marine_marine-debris-aris3k-306.png,chain,0.9801,0.7895,0.9215,0.6288,15.85,63.11
marine_marine-debris-aris3k-306.png,drink-carton,1.0,0.9652,0.995,0.7008,15.85,63.11
marine_marine-debris-aris3k-31.png,propeller,0.9694,1.0,0.995,0.734,16.36,61.11
marine_marine-debris-aris3k-321.png,drink-carton,1.0,0.9652,0.995,0.7008,17.08,58.54
marine_marine-debris-aris3k-334.png,hook,1.0,1.0,0.995,0.8723,19.07,52.44
marine_marine-debris-aris3k-334.png,tire,1.0,0.9799,0.995,0.8241,19.07,52.44
marine_marine-debris-aris3k-337.png,bottle,0.995,1.0,0.995,0.8172,16.16,61.9
marine_marine-debris-aris3k-337.png,tire,1.0,0.9799,0.995,0.8241,16.16,61.9
marine_marine-debris-aris3k-343.png,valve,1.0,0.9915,0.995,0.7755,15.54,64.33
marine_marine-debris-aris3k-351.png,can,1.0,0.9803,0.995,0.8382,16.26,61.51
marine_marine-debris-aris3k-362.png,drink-carton,1.0,0.9652,0.995,0.7008,16.13,61.98
marine_marine-debris-aris3k-381.png,bottle,0.995,1.0,0.995,0.8172,14.65,68.27
marine_marine-debris-aris3k-381.png,tire,1.0,0.9799,0.995,0.8241,14.65,68.27
marine_marine-debris-aris3k-393.png,propeller,0.9694,1.0,0.995,0.734,14.04,71.21
marine_marine-debris-aris3k-395.png,bottle,0.995,1.0,0.995,0.8172,13.9,71.94
marine_marine-debris-aris3k-395.png,tire,1.0,0.9799,0.995,0.8241,13.9,71.94
marine_marine-debris-aris3k-402.png,drink-carton,1.0,0.9652,0.995,0.7008,15.76,63.43
marine_marine-debris-aris3k-405.png,chain,0.9801,0.7895,0.9215,0.6288,16.84,59.38
marine_marine-debris-aris3k-415.png,valve,1.0,0.9915,0.995,0.7755,16.14,61.94
marine_marine-debris-aris3k-416.png,drink-carton,1.0,0.9652,0.995,0.7008,15.46,64.67
marine_marine-debris-aris3k-426.png,valve,1.0,0.9915,0.995,0.7755,15.06,66.42
marine_marine-debris-aris3k-43.png,can,1.0,0.9803,0.995,0.8382,16.34,61.22
marine_marine-debris-aris3k-44.png,shampoo-bottle,0.9723,1.0,0.995,0.8954,14.48,69.06
marine_marine-debris-aris3k-457.png,drink-carton,1.0,0.9652,0.995,0.7008,15.41,64.89
marine_marine-debris-aris3k-474.png,tire,1.0,0.9799,0.995,0.8241,14.74,67.86
marine_marine-debris-aris3k-476.png,can,1.0,0.9803,0.995,0.8382,17.34,57.68
marine_marine-debris-aris3k-488.png,valve,1.0,0.9915,0.995,0.7755,15.34,65.19
marine_marine-debris-aris3k-489.png,drink-carton,1.0,0.9652,0.995,0.7008,15.49,64.56
marine_marine-debris-aris3k-496.png,hook,1.0,1.0,0.995,0.8723,14.91,67.05
marine_marine-debris-aris3k-497.png,tire,1.0,0.9799,0.995,0.8241,15.21,65.76
marine_marine-debris-aris3k-501.png,hook,1.0,1.0,0.995,0.8723,15.35,65.15
marine_marine-debris-aris3k-501.png,tire,1.0,0.9799,0.995,0.8241,15.35,65.15
marine_marine-debris-aris3k-511.png,tire,1.0,0.9799,0.995,0.8241,16.3,61.34
marine_marine-debris-aris3k-511.png,bottle,0.995,1.0,0.995,0.8172,16.3,61.34
marine_marine-debris-aris3k-514.png,bottle,0.995,1.0,0.995,0.8172,15.67,63.8
marine_marine-debris-aris3k-514.png,bottle,0.995,1.0,0.995,0.8172,15.67,63.8
marine_marine-debris-aris3k-525.png,valve,1.0,0.9915,0.995,0.7755,15.25,65.58
marine_marine-debris-aris3k-536.png,drink-carton,1.0,0.9652,0.995,0.7008,15.06,66.38
marine_marine-debris-aris3k-552.png,tire,1.0,0.9799,0.995,0.8241,16.08,62.18
marine_marine-debris-aris3k-552.png,bottle,0.995,1.0,0.995,0.8172,16.08,62.18
marine_marine-debris-aris3k-564.png,standing-bottle,0.9501,1.0,0.995,0.858,15.84,63.15
marine_marine-debris-aris3k-571.png,drink-carton,1.0,0.9652,0.995,0.7008,15.46,64.69
marine_marine-debris-aris3k-571.png,chain,0.9801,0.7895,0.9215,0.6288,15.46,64.69
marine_marine-debris-aris3k-574.png,none,N/A,N/A,N/A,N/A,14.24,70.22
marine_marine-debris-aris3k-577.png,chain,0.9801,0.7895,0.9215,0.6288,14.97,66.79
marine_marine-debris-aris3k-58.png,bottle,0.995,1.0,0.995,0.8172,15.23,65.65
marine_marine-debris-aris3k-586.png,drink-carton,1.0,0.9652,0.995,0.7008,15.47,64.64
marine_marine-debris-aris3k-586.png,chain,0.9801,0.7895,0.9215,0.6288,15.47,64.64
marine_marine-debris-aris3k-603.png,shampoo-bottle,0.9723,1.0,0.995,0.8954,15.47,64.64
marine_marine-debris-aris3k-61.png,drink-carton,1.0,0.9652,0.995,0.7008,15.67,63.82
marine_marine-debris-aris3k-610.png,valve,1.0,0.9915,0.995,0.7755,15.71,63.66
marine_marine-debris-aris3k-615.png,can,1.0,0.9803,0.995,0.8382,15.88,62.98
marine_marine-debris-aris3k-637.png,can,1.0,0.9803,0.995,0.8382,15.58,64.19
marine_marine-debris-aris3k-640.png,bottle,0.995,1.0,0.995,0.8172,14.03,71.26
marine_marine-debris-aris3k-646.png,tire,1.0,0.9799,0.995,0.8241,14.03,71.27
marine_marine-debris-aris3k-646.png,bottle,0.995,1.0,0.995,0.8172,14.03,71.27
marine_marine-debris-aris3k-661.png,drink-carton,1.0,0.9652,0.995,0.7008,15.89,62.94
marine_marine-debris-aris3k-662.png,bottle,0.995,1.0,0.995,0.8172,16.29,61.39
marine_marine-debris-aris3k-675.png,tire,1.0,0.9799,0.995,0.8241,15.65,63.91
marine_marine-debris-aris3k-675.png,bottle,0.995,1.0,0.995,0.8172,15.65,63.91
marine_marine-debris-aris3k-682.png,bottle,0.995,1.0,0.995,0.8172,15.34,65.19
marine_marine-debris-aris3k-682.png,tire,1.0,0.9799,0.995,0.8241,15.34,65.19
marine_marine-debris-aris3k-684.png,bottle,0.995,1.0,0.995,0.8172,15.86,63.06
marine_marine-debris-aris3k-684.png,bottle,0.995,1.0,0.995,0.8172,15.86,63.06
marine_marine-debris-aris3k-690.png,shampoo-bottle,0.9723,1.0,0.995,0.8954,14.08,71.03
marine_marine-debris-aris3k-694.png,valve,1.0,0.9915,0.995,0.7755,15.51,64.47
marine_marine-debris-aris3k-700.png,drink-carton,1.0,0.9652,0.995,0.7008,14.85,67.35
marine_marine-debris-aris3k-71.png,can,1.0,0.9803,0.995,0.8382,15.51,64.46
marine_marine-debris-aris3k-716.png,can,1.0,0.9803,0.995,0.8382,14.78,67.66
marine_marine-debris-aris3k-724.png,can,1.0,0.9803,0.995,0.8382,14.9,67.12
marine_marine-debris-aris3k-733.png,chain,0.9801,0.7895,0.9215,0.6288,15.63,63.97
marine_marine-debris-aris3k-734.png,can,1.0,0.9803,0.995,0.8382,19.14,52.25
marine_marine-debris-aris3k-742.png,bottle,0.995,1.0,0.995,0.8172,16.69,59.9
marine_marine-debris-aris3k-742.png,tire,1.0,0.9799,0.995,0.8241,16.69,59.9
marine_marine-debris-aris3k-748.png,standing-bottle,0.9501,1.0,0.995,0.858,15.55,64.32
marine_marine-debris-aris3k-778.png,drink-carton,1.0,0.9652,0.995,0.7008,15.52,64.43
marine_marine-debris-aris3k-800.png,valve,1.0,0.9915,0.995,0.7755,15.33,65.22
marine_marine-debris-aris3k-802.png,drink-carton,1.0,0.9652,0.995,0.7008,16.1,62.1
marine_marine-debris-aris3k-804.png,bottle,0.995,1.0,0.995,0.8172,14.65,68.24
marine_marine-debris-aris3k-809.png,propeller,0.9694,1.0,0.995,0.734,15.44,64.78
marine_marine-debris-aris3k-832.png,valve,1.0,0.9915,0.995,0.7755,14.41,69.37
marine_marine-debris-aris3k-846.png,can,1.0,0.9803,0.995,0.8382,13.91,71.89
marine_marine-debris-aris3k-847.png,can,1.0,0.9803,0.995,0.8382,15.58,64.2
marine_marine-debris-aris3k-855.png,can,1.0,0.9803,0.995,0.8382,15.19,65.85
marine_marine-debris-aris3k-871.png,tire,1.0,0.9799,0.995,0.8241,15.97,62.63
marine_marine-debris-aris3k-871.png,hook,1.0,1.0,0.995,0.8723,15.97,62.63
marine_marine-debris-aris3k-88.png,bottle,0.995,1.0,0.995,0.8172,14.26,70.14
marine_marine-debris-aris3k-88.png,tire,1.0,0.9799,0.995,0.8241,14.26,70.14
marine_marine-debris-aris3k-893.png,hook,1.0,1.0,0.995,0.8723,16.16,61.87
marine_marine-debris-aris3k-893.png,tire,1.0,0.9799,0.995,0.8241,16.16,61.87
marine_marine-debris-aris3k-894.png,valve,1.0,0.9915,0.995,0.7755,16.18,61.8
marine_marine-debris-aris3k-905.png,tire,1.0,0.9799,0.995,0.8241,16.42,60.88
marine_marine-debris-aris3k-909.png,tire,1.0,0.9799,0.995,0.8241,14.3,69.93
marine_marine-debris-aris3k-909.png,bottle,0.995,1.0,0.995,0.8172,14.3,69.93
marine_marine-debris-aris3k-914.png,valve,1.0,0.9915,0.995,0.7755,16.45,60.79
marine_marine-debris-aris3k-92.png,chain,0.9801,0.7895,0.9215,0.6288,15.66,63.88
marine_marine-debris-aris3k-951.png,valve,1.0,0.9915,0.995,0.7755,14.46,69.18
marine_marine-debris-aris3k-958.png,can,1.0,0.9803,0.995,0.8382,16.89,59.21
marine_marine-debris-aris3k-962.png,hook,1.0,1.0,0.995,0.8723,14.95,66.89
marine_marine-debris-aris3k-967.png,bottle,0.995,1.0,0.995,0.8172,14.64,68.28
marine_marine-debris-aris3k-967.png,tire,1.0,0.9799,0.995,0.8241,14.64,68.28
marine_marine-debris-aris3k-976.png,drink-carton,1.0,0.9652,0.995,0.7008,15.34,65.17
marine_marine-debris-aris3k-98.png,tire,1.0,0.9799,0.995,0.8241,15.36,65.12
marine_marine-debris-aris3k-98.png,bottle,0.995,1.0,0.995,0.8172,15.36,65.12
marine_marine-debris-aris3k-983.png,valve,1.0,0.9915,0.995,0.7755,15.18,65.89
marine_marine-debris-aris3k-984.png,drink-carton,1.0,0.9652,0.995,0.7008,13.79,72.52
marine_marine-debris-aris3k-987.png,valve,1.0,0.9915,0.995,0.7755,13.78,72.58
marine_marine-debris-aris3k-990.png,chain,0.9801,0.7895,0.9215,0.6288,15.47,64.66
marine_marine-debris-aris3k-992.png,chain,0.9801,0.7895,0.9215,0.6288,14.82,67.48
marine_marine-debris-aris3k-994.png,tire,1.0,0.9799,0.995,0.8241,14.76,67.74
marine_marine-debris-aris3k-994.png,hook,1.0,1.0,0.995,0.8723,14.76,67.74
mine_sonar83_jpg.rf.d7d3ede15a0476a8184ccc9f645b5955.jpg,mine,0.9435,0.95,0.8978,0.3824,16.97,58.92
mine_sonar84_jpg.rf.c868661cca1c14bb308bd928c1d1e54e.jpg,mine,0.9435,0.95,0.8978,0.3824,15.61,64.05
mine_sonar85_jpg.rf.3192057ce4556f7bc56671317c50431d.jpg,mine,0.9435,0.95,0.8978,0.3824,15.09,66.25
mine_sonar86_jpg.rf.a7bc6bc21f73e1636afa72a097c8878d.jpg,mine,0.9435,0.95,0.8978,0.3824,16.09,62.14
mine_sonar86_jpg.rf.a7bc6bc21f73e1636afa72a097c8878d.jpg,mine,0.9435,0.95,0.8978,0.3824,16.09,62.14
mine_sonar87_jpg.rf.2275a8c6356a68f2cd026074fab0fbf9.jpg,mine,0.9435,0.95,0.8978,0.3824,15.81,63.26
mine_sonar88_jpg.rf.cedf05cfbba72b9bd38de6d126bbbe76.jpg,mine,0.9435,0.95,0.8978,0.3824,17.3,57.81
mine_sonar89_jpg.rf.54de267b1dd46896035a8017f896e8c9.jpg,mine,0.9435,0.95,0.8978,0.3824,16.27,61.47
mine_sonar8_jpg.rf.3efb1cf5aba7c2cefc21f1cab852b8ce.jpg,mine,0.9435,0.95,0.8978,0.3824,15.33,65.24
mine_sonar90_jpg.rf.6dc9e1afcd5f9914f03fdbac8afbbab0.jpg,mine,0.9435,0.95,0.8978,0.3824,14.12,70.81
mine_sonar91_jpg.rf.1cc5cf29d0846c05146afe5260759ec2.jpg,mine,0.9435,0.95,0.8978,0.3824,13.84,72.27
mine_sonar92_jpg.rf.20b9433b2d27be0a4842ef5b43d31013.jpg,mine,0.9435,0.95,0.8978,0.3824,14.5,68.97
mine_sonar92_jpg.rf.20b9433b2d27be0a4842ef5b43d31013.jpg,mine,0.9435,0.95,0.8978,0.3824,14.5,68.97
mine_sonar94_jpg.rf.1b9070f4aa154d16825d53bd356771b1.jpg,mine,0.9435,0.95,0.8978,0.3824,14.24,70.2
mine_sonar95_jpg.rf.dc9cc7c34485f915bda19b029373de01.jpg,mine,0.9435,0.95,0.8978,0.3824,14.55,68.73
mine_sonar96_jpg.rf.a271f0c8428cb264f56e1a25e0c3a91b.jpg,mine,0.9435,0.95,0.8978,0.3824,13.68,73.11
mine_sonar97_jpg.rf.0af6e66998559e85188360e72524e548.jpg,mine,0.9435,0.95,0.8978,0.3824,15.64,63.94
mine_sonar98_jpg.rf.f96a3b6a5a2599496693839f96359cc9.jpg,mine,0.9435,0.95,0.8978,0.3824,13.87,72.08
mine_sonar99_jpg.rf.42ba912455226b1328983b8a958a69d9.jpg,mine,0.9435,0.95,0.8978,0.3824,15.4,64.94
mine_sonar9_jpg.rf.b7e7154933ddb10f144a7b89327c32a9.jpg,mine,0.9435,0.95,0.8978,0.3824,13.58,73.62
