image,object,precision,recall,map50,map50_95,inference_time_ms,fps
marine_marine-debris-aris3k-1208.png,drink-carton,0.9757,1.0,0.9941,0.7293,14.67,68.16
marine_marine-debris-aris3k-1227.png,tire,1.0,0.9849,0.995,0.8392,14.48,69.04
marine_marine-debris-aris3k-1227.png,bottle,0.9964,1.0,0.995,0.8169,14.48,69.04
marine_marine-debris-aris3k-1252.png,valve,0.9934,1.0,0.995,0.7807,13.34,74.98
marine_marine-debris-aris3k-1254.png,bottle,0.9964,1.0,0.995,0.8169,11.95,83.68
marine_marine-debris-aris3k-1254.png,bottle,0.9964,1.0,0.995,0.8169,11.95,83.68
marine_marine-debris-aris3k-1260.png,drink-carton,0.9757,1.0,0.9941,0.7293,14.19,70.47
marine_marine-debris-aris3k-128.png,chain,0.8907,0.8947,0.9656,0.6124,13.93,71.77
marine_marine-debris-aris3k-1284.png,tire,1.0,0.9849,0.995,0.8392,14.35,69.7
marine_marine-debris-aris3k-1284.png,bottle,0.9964,1.0,0.995,0.8169,14.35,69.7
marine_marine-debris-aris3k-1291.png,chain,0.8907,0.8947,0.9656,0.6124,14.19,70.45
marine_marine-debris-aris3k-1292.png,bottle,0.9964,1.0,0.995,0.8169,13.6,73.56
marine_marine-debris-aris3k-1298.png,drink-carton,0.9757,1.0,0.9941,0.7293,13.19,75.84
marine_marine-debris-aris3k-1299.png,tire,1.0,0.9849,0.995,0.8392,13.4,74.65
marine_marine-debris-aris3k-1299.png,bottle,0.9964,1.0,0.995,0.8169,13.4,74.65
marine_marine-debris-aris3k-1312.png,drink-carton,0.9757,1.0,0.9941,0.7293,13.42,74.5
marine_marine-debris-aris3k-1351.png,tire,1.0,0.9849,0.995,0.8392,13.37,74.78
marine_marine-debris-aris3k-1351.png,bottle,0.9964,1.0,0.995,0.8169,13.37,74.78
marine_marine-debris-aris3k-1364.png,can,0.9957,1.0,0.995,0.8394,13.42,74.52
marine_marine-debris-aris3k-1384.png,valve,0.9934,1.0,0.995,0.7807,12.5,79.99
marine_marine-debris-aris3k-1387.png,drink-carton,0.9757,1.0,0.9941,0.7293,12.22,81.82
marine_marine-debris-aris3k-139.png,bottle,0.9964,1.0,0.995,0.8169,12.26,81.54
marine_marine-debris-aris3k-139.png,tire,1.0,0.9849,0.995,0.8392,12.26,81.54
marine_marine-debris-aris3k-1394.png,hook,0.9842,1.0,0.995,0.8974,12.71,78.7
marine_marine-debris-aris3k-1394.png,tire,1.0,0.9849,0.995,0.8392,12.71,78.7
marine_marine-debris-aris3k-140.png,tire,1.0,0.9849,0.995,0.8392,12.87,77.72
marine_marine-debris-aris3k-140.png,bottle,0.9964,1.0,0.995,0.8169,12.87,77.72
marine_marine-debris-aris3k-1401.png,drink-carton,0.9757,1.0,0.9941,0.7293,13.76,72.68
marine_marine-debris-aris3k-1401.png,chain,0.8907,0.8947,0.9656,0.6124,13.76,72.68
marine_marine-debris-aris3k-1403.png,tire,1.0,0.9849,0.995,0.8392,12.35,81.0
marine_marine-debris-aris3k-1403.png,bottle,0.9964,1.0,0.995,0.8169,12.35,81.0
marine_marine-debris-aris3k-1409.png,can,0.9957,1.0,0.995,0.8394,14.41,69.41
marine_marine-debris-aris3k-1417.png,bottle,0.9964,1.0,0.995,0.8169,13.48,74.16
marine_marine-debris-aris3k-142.png,valve,0.9934,1.0,0.995,0.7807,12.78,78.22
marine_marine-debris-aris3k-1426.png,valve,0.9934,1.0,0.995,0.7807,12.96,77.15
marine_marine-debris-aris3k-1426.png,bottle,0.9964,1.0,0.995,0.8169,12.96,77.15
marine_marine-debris-aris3k-1449.png,drink-carton,0.9757,1.0,0.9941,0.7293,12.56,79.64
marine_marine-debris-aris3k-1452.png,bottle,0.9964,1.0,0.995,0.8169,11.94,83.76
marine_marine-debris-aris3k-1452.png,bottle,0.9964,1.0,0.995,0.8169,11.94,83.76
marine_marine-debris-aris3k-1460.png,drink-carton,0.9757,1.0,0.9941,0.7293,13.61,73.46
marine_marine-debris-aris3k-1460.png,chain,0.8907,0.8947,0.9656,0.6124,13.61,73.46
marine_marine-debris-aris3k-1482.png,shampoo-bottle,0.9857,1.0,0.995,0.8247,12.81,78.07
marine_marine-debris-aris3k-1485.png,can,0.9957,1.0,0.995,0.8394,13.63,73.39
marine_marine-debris-aris3k-1486.png,drink-carton,0.9757,1.0,0.9941,0.7293,13.38,74.71
marine_marine-debris-aris3k-149.png,chain,0.8907,0.8947,0.9656,0.6124,14.12,70.82
marine_marine-debris-aris3k-1491.png,valve,0.9934,1.0,0.995,0.7807,13.79,72.52
marine_marine-debris-aris3k-1495.png,valve,0.9934,1.0,0.995,0.7807,12.51,79.91
marine_marine-debris-aris3k-1504.png,drink-carton,0.9757,1.0,0.9941,0.7293,14.66,68.21
marine_marine-debris-aris3k-151.png,bottle,0.9964,1.0,0.995,0.8169,13.9,71.97
marine_marine-debris-aris3k-151.png,bottle,0.9964,1.0,0.995,0.8169,13.9,71.97
marine_marine-debris-aris3k-1530.png,drink-carton,0.9757,1.0,0.9941,0.7293,12.95,77.24
marine_marine-debris-aris3k-1538.png,bottle,0.9964,1.0,0.995,0.8169,12.46,80.26
marine_marine-debris-aris3k-1578.png,standing-bottle,0.96,1.0,0.995,0.9325,12.38,80.76
marine_marine-debris-aris3k-158.png,drink-carton,0.9757,1.0,0.9941,0.7293,12.17,82.14
marine_marine-debris-aris3k-1596.png,bottle,0.9964,1.0,0.995,0.8169,13.25,75.46
marine_marine-debris-aris3k-1618.png,drink-carton,0.9757,1.0,0.9941,0.7293,13.89,72.0
marine_marine-debris-aris3k-1624.png,propeller,0.972,1.0,0.995,0.723,13.73,72.82
marine_marine-debris-aris3k-1624.png,hook,0.9842,1.0,0.995,0.8974,13.73,72.82
marine_marine-debris-aris3k-1631.png,drink-carton,0.9757,1.0,0.9941,0.7293,13.21,75.71
marine_marine-debris-aris3k-1652.png,chain,0.8907,0.8947,0.9656,0.6124,13.84,72.27
marine_marine-debris-aris3k-166.png,drink-carton,0.9757,1.0,0.9941,0.7293,13.0,76.93
marine_marine-debris-aris3k-166.png,chain,0.8907,0.8947,0.9656,0.6124,13.0,76.93
marine_marine-debris-aris3k-1664.png,can,0.9957,1.0,0.995,0.8394,13.64,73.33
marine_marine-debris-aris3k-1665.png,can,0.9957,1.0,0.995,0.8394,12.43,80.45
marine_marine-debris-aris3k-1670.png,can,0.9957,1.0,0.995,0.8394,11.96,83.64
marine_marine-debris-aris3k-1680.png,propeller,0.972,1.0,0.995,0.723,14.02,71.32
marine_marine-debris-aris3k-1680.png,hook,0.9842,1.0,0.995,0.8974,14.02,71.32
marine_marine-debris-aris3k-1696.png,can,0.9957,1.0,0.995,0.8394,14.06,71.12
marine_marine-debris-aris3k-1698.png,can,0.9957,1.0,0.995,0.8394,13.83,72.31
marine_marine-debris-aris3k-1699.png,drink-carton,0.9757,1.0,0.9941,0.7293,13.63,73.39
marine_marine-debris-aris3k-1700.png,drink-carton,0.9757,1.0,0.9941,0.7293,14.1,70.91
marine_marine-debris-aris3k-1707.png,drink-carton,0.9757,1.0,0.9941,0.7293,13.43,74.46
marine_marine-debris-aris3k-1727.png,chain,0.8907,0.8947,0.9656,0.6124,13.54,73.85
marine_marine-debris-aris3k-1733.png,tire,1.0,0.9849,0.995,0.8392,13.12,76.24
marine_marine-debris-aris3k-1733.png,bottle,0.9964,1.0,0.995,0.8169,13.12,76.24
marine_marine-debris-aris3k-1737.png,can,0.9957,1.0,0.995,0.8394,13.34,74.98
marine_marine-debris-aris3k-1771.png,can,0.9957,1.0,0.995,0.8394,13.64,73.31
marine_marine-debris-aris3k-1776.png,can,0.9957,1.0,0.995,0.8394,13.52,73.98
marine_marine-debris-aris3k-1777.png,can,0.9957,1.0,0.995,0.8394,13.46,74.32
marine_marine-debris-aris3k-1788.png,valve,0.9934,1.0,0.995,0.7807,12.99,76.98
marine_marine-debris-aris3k-1825.png,tire,1.0,0.9849,0.995,0.8392,13.01,76.89
marine_marine-debris-aris3k-1825.png,bottle,0.9964,1.0,0.995,0.8169,13.01,76.89
marine_marine-debris-aris3k-1833.png,tire,1.0,0.9849,0.995,0.8392,14.37,69.61
marine_marine-debris-aris3k-1833.png,hook,0.9842,1.0,0.995,0.8974,14.37,69.61
marine_marine-debris-aris3k-1843.png,drink-carton,0.9757,1.0,0.9941,0.7293,13.75,72.73
marine_marine-debris-aris3k-1844.png,shampoo-bottle,0.9857,1.0,0.995,0.8247,13.19,75.79
marine_marine-debris-aris3k-185.png,can,0.9957,1.0,0.995,0.8394,13.39,74.7
marine_marine-debris-aris3k-1860.png,can,0.9957,1.0,0.995,0.8394,14.27,70.06
marine_marine-debris-aris3k-226.png,drink-carton,0.9757,1.0,0.9941,0.7293,13.85,72.2
marine_marine-debris-aris3k-237.png,propeller,0.972,1.0,0.995,0.723,13.18,75.85
marine_marine-debris-aris3k-248.png,shampoo-bottle,0.9857,1.0,0.995,0.8247,14.58,68.57
marine_marine-debris-aris3k-256.png,tire,1.0,0.9849,0.995,0.8392,13.11,76.31
marine_marine-debris-aris3k-256.png,bottle,0.9964,1.0,0.995,0.8169,13.11,76.31
marine_marine-debris-aris3k-292.png,tire,1.0,0.9849,0.995,0.8392,13.4,74.61
marine_marine-debris-aris3k-292.png,bottle,0.9964,1.0,0.995,0.8169,13.4,74.61
marine_marine-debris-aris3k-300.png,valve,0.9934,1.0,0.995,0.7807,14.02,71.34
marine_marine-debris-aris3k-305.png,bottle,0.9964,1.0,0.995,0.8169,13.44,74.41
marine_marine-debris-aris3k-305.png,tire,1.0,0.9849,0.995,0.8392,13.44,74.41
marine_marine-debris-aris3k-306.png,drink-carton,0.9757,1.0,0.9941,0.7293,13.75,72.73
marine_marine-debris-aris3k-306.png,chain,0.8907,0.8947,0.9656,0.6124,13.75,72.73
marine_marine-debris-aris3k-31.png,propeller,0.972,1.0,0.995,0.723,13.87,72.09
marine_marine-debris-aris3k-321.png,drink-carton,0.9757,1.0,0.9941,0.7293,13.45,74.36
marine_marine-debris-aris3k-334.png,hook,0.9842,1.0,0.995,0.8974,13.79,72.5
marine_marine-debris-aris3k-334.png,tire,1.0,0.9849,0.995,0.8392,13.79,72.5
marine_marine-debris-aris3k-337.png,bottle,0.9964,1.0,0.995,0.8169,14.08,71.0
marine_marine-debris-aris3k-337.png,tire,1.0,0.9849,0.995,0.8392,14.08,71.0
marine_marine-debris-aris3k-343.png,valve,0.9934,1.0,0.995,0.7807,13.33,75.0
marine_marine-debris-aris3k-351.png,can,0.9957,1.0,0.995,0.8394,14.01,71.37
marine_marine-debris-aris3k-362.png,drink-carton,0.9757,1.0,0.9941,0.7293,13.91,71.91
marine_marine-debris-aris3k-381.png,tire,1.0,0.9849,0.995,0.8392,12.68,78.84
marine_marine-debris-aris3k-381.png,bottle,0.9964,1.0,0.995,0.8169,12.68,78.84
marine_marine-debris-aris3k-393.png,propeller,0.972,1.0,0.995,0.723,12.85,77.81
marine_marine-debris-aris3k-395.png,tire,1.0,0.9849,0.995,0.8392,13.53,73.91
marine_marine-debris-aris3k-395.png,bottle,0.9964,1.0,0.995,0.8169,13.53,73.91
marine_marine-debris-aris3k-402.png,drink-carton,0.9757,1.0,0.9941,0.7293,12.36,80.93
marine_marine-debris-aris3k-405.png,chain,0.8907,0.8947,0.9656,0.6124,13.12,76.19
marine_marine-debris-aris3k-415.png,valve,0.9934,1.0,0.995,0.7807,13.59,73.6
marine_marine-debris-aris3k-416.png,drink-carton,0.9757,1.0,0.9941,0.7293,11.93,83.84
marine_marine-debris-aris3k-426.png,valve,0.9934,1.0,0.995,0.7807,13.32,75.06
marine_marine-debris-aris3k-43.png,can,0.9957,1.0,0.995,0.8394,14.07,71.1
marine_marine-debris-aris3k-44.png,shampoo-bottle,0.9857,1.0,0.995,0.8247,13.8,72.46
marine_marine-debris-aris3k-457.png,drink-carton,0.9757,1.0,0.9941,0.7293,17.83,56.08
marine_marine-debris-aris3k-474.png,tire,1.0,0.9849,0.995,0.8392,14.66,68.21
marine_marine-debris-aris3k-476.png,can,0.9957,1.0,0.995,0.8394,14.25,70.15
marine_marine-debris-aris3k-488.png,valve,0.9934,1.0,0.995,0.7807,14.45,69.22
marine_marine-debris-aris3k-489.png,drink-carton,0.9757,1.0,0.9941,0.7293,18.66,53.59
marine_marine-debris-aris3k-496.png,hook,0.9842,1.0,0.995,0.8974,13.9,71.94
marine_marine-debris-aris3k-497.png,tire,1.0,0.9849,0.995,0.8392,13.25,75.45
marine_marine-debris-aris3k-501.png,tire,1.0,0.9849,0.995,0.8392,12.85,77.81
marine_marine-debris-aris3k-501.png,hook,0.9842,1.0,0.995,0.8974,12.85,77.81
marine_marine-debris-aris3k-511.png,tire,1.0,0.9849,0.995,0.8392,13.68,73.1
marine_marine-debris-aris3k-511.png,bottle,0.9964,1.0,0.995,0.8169,13.68,73.1
marine_marine-debris-aris3k-514.png,bottle,0.9964,1.0,0.995,0.8169,12.76,78.37
marine_marine-debris-aris3k-514.png,bottle,0.9964,1.0,0.995,0.8169,12.76,78.37
marine_marine-debris-aris3k-525.png,valve,0.9934,1.0,0.995,0.7807,13.52,73.96
marine_marine-debris-aris3k-536.png,drink-carton,0.9757,1.0,0.9941,0.7293,13.98,71.52
marine_marine-debris-aris3k-552.png,tire,1.0,0.9849,0.995,0.8392,13.67,73.13
marine_marine-debris-aris3k-552.png,bottle,0.9964,1.0,0.995,0.8169,13.67,73.13
marine_marine-debris-aris3k-564.png,standing-bottle,0.96,1.0,0.995,0.9325,14.38,69.53
marine_marine-debris-aris3k-571.png,drink-carton,0.9757,1.0,0.9941,0.7293,15.17,65.93
marine_marine-debris-aris3k-571.png,chain,0.8907,0.8947,0.9656,0.6124,15.17,65.93
marine_marine-debris-aris3k-574.png,can,0.9957,1.0,0.995,0.8394,13.77,72.63
marine_marine-debris-aris3k-577.png,chain,0.8907,0.8947,0.9656,0.6124,13.27,75.36
marine_marine-debris-aris3k-58.png,bottle,0.9964,1.0,0.995,0.8169,12.15,82.3
marine_marine-debris-aris3k-586.png,drink-carton,0.9757,1.0,0.9941,0.7293,10.64,93.99
marine_marine-debris-aris3k-586.png,chain,0.8907,0.8947,0.9656,0.6124,10.64,93.99
marine_marine-debris-aris3k-586.png,chain,0.8907,0.8947,0.9656,0.6124,10.64,93.99
marine_marine-debris-aris3k-603.png,shampoo-bottle,0.9857,1.0,0.995,0.8247,11.91,83.93
marine_marine-debris-aris3k-61.png,drink-carton,0.9757,1.0,0.9941,0.7293,13.43,74.46
marine_marine-debris-aris3k-610.png,valve,0.9934,1.0,0.995,0.7807,12.14,82.34
marine_marine-debris-aris3k-615.png,can,0.9957,1.0,0.995,0.8394,11.09,90.21
marine_marine-debris-aris3k-637.png,can,0.9957,1.0,0.995,0.8394,11.35,88.09
marine_marine-debris-aris3k-640.png,bottle,0.9964,1.0,0.995,0.8169,12.52,79.85
marine_marine-debris-aris3k-646.png,tire,1.0,0.9849,0.995,0.8392,11.95,83.69
marine_marine-debris-aris3k-646.png,bottle,0.9964,1.0,0.995,0.8169,11.95,83.69
marine_marine-debris-aris3k-661.png,drink-carton,0.9757,1.0,0.9941,0.7293,10.75,93.06
marine_marine-debris-aris3k-662.png,bottle,0.9964,1.0,0.995,0.8169,14.23,70.25
marine_marine-debris-aris3k-675.png,tire,1.0,0.9849,0.995,0.8392,13.74,72.8
marine_marine-debris-aris3k-675.png,bottle,0.9964,1.0,0.995,0.8169,13.74,72.8
marine_marine-debris-aris3k-682.png,bottle,0.9964,1.0,0.995,0.8169,11.58,86.39
marine_marine-debris-aris3k-682.png,tire,1.0,0.9849,0.995,0.8392,11.58,86.39
marine_marine-debris-aris3k-684.png,bottle,0.9964,1.0,0.995,0.8169,11.37,87.94
marine_marine-debris-aris3k-684.png,bottle,0.9964,1.0,0.995,0.8169,11.37,87.94
marine_marine-debris-aris3k-690.png,shampoo-bottle,0.9857,1.0,0.995,0.8247,10.27,97.4
marine_marine-debris-aris3k-694.png,valve,0.9934,1.0,0.995,0.7807,11.62,86.07
marine_marine-debris-aris3k-700.png,drink-carton,0.9757,1.0,0.9941,0.7293,12.15,82.33
marine_marine-debris-aris3k-71.png,can,0.9957,1.0,0.995,0.8394,11.82,84.63
marine_marine-debris-aris3k-716.png,can,0.9957,1.0,0.995,0.8394,13.13,76.17
marine_marine-debris-aris3k-724.png,can,0.9957,1.0,0.995,0.8394,11.32,88.31
marine_marine-debris-aris3k-733.png,chain,0.8907,0.8947,0.9656,0.6124,10.99,91.01
marine_marine-debris-aris3k-734.png,can,0.9957,1.0,0.995,0.8394,10.79,92.71
marine_marine-debris-aris3k-742.png,bottle,0.9964,1.0,0.995,0.8169,11.95,83.65
marine_marine-debris-aris3k-742.png,tire,1.0,0.9849,0.995,0.8392,11.95,83.65
marine_marine-debris-aris3k-748.png,standing-bottle,0.96,1.0,0.995,0.9325,11.09,90.16
marine_marine-debris-aris3k-778.png,drink-carton,0.9757,1.0,0.9941,0.7293,10.3,97.09
marine_marine-debris-aris3k-800.png,valve,0.9934,1.0,0.995,0.7807,10.28,97.23
marine_marine-debris-aris3k-802.png,drink-carton,0.9757,1.0,0.9941,0.7293,12.89,77.59
marine_marine-debris-aris3k-804.png,bottle,0.9964,1.0,0.995,0.8169,11.48,87.13
marine_marine-debris-aris3k-809.png,propeller,0.972,1.0,0.995,0.723,11.51,86.89
marine_marine-debris-aris3k-832.png,valve,0.9934,1.0,0.995,0.7807,11.02,90.78
marine_marine-debris-aris3k-846.png,can,0.9957,1.0,0.995,0.8394,12.06,82.9
marine_marine-debris-aris3k-847.png,can,0.9957,1.0,0.995,0.8394,12.35,80.97
marine_marine-debris-aris3k-855.png,can,0.9957,1.0,0.995,0.8394,11.0,90.87
marine_marine-debris-aris3k-871.png,tire,1.0,0.9849,0.995,0.8392,13.57,73.69
marine_marine-debris-aris3k-871.png,hook,0.9842,1.0,0.995,0.8974,13.57,73.69
marine_marine-debris-aris3k-88.png,tire,1.0,0.9849,0.995,0.8392,12.35,80.99
marine_marine-debris-aris3k-88.png,bottle,0.9964,1.0,0.995,0.8169,12.35,80.99
marine_marine-debris-aris3k-893.png,tire,1.0,0.9849,0.995,0.8392,11.55,86.55
marine_marine-debris-aris3k-893.png,hook,0.9842,1.0,0.995,0.8974,11.55,86.55
marine_marine-debris-aris3k-894.png,valve,0.9934,1.0,0.995,0.7807,10.86,92.1
marine_marine-debris-aris3k-905.png,tire,1.0,0.9849,0.995,0.8392,13.22,75.65
marine_marine-debris-aris3k-909.png,tire,1.0,0.9849,0.995,0.8392,12.5,79.97
marine_marine-debris-aris3k-909.png,bottle,0.9964,1.0,0.995,0.8169,12.5,79.97
marine_marine-debris-aris3k-914.png,valve,0.9934,1.0,0.995,0.7807,11.81,84.69
marine_marine-debris-aris3k-92.png,drink-carton,0.9757,1.0,0.9941,0.7293,13.19,75.82
marine_marine-debris-aris3k-92.png,chain,0.8907,0.8947,0.9656,0.6124,13.19,75.82
marine_marine-debris-aris3k-951.png,valve,0.9934,1.0,0.995,0.7807,12.77,78.33
marine_marine-debris-aris3k-958.png,can,0.9957,1.0,0.995,0.8394,11.04,90.55
marine_marine-debris-aris3k-962.png,hook,0.9842,1.0,0.995,0.8974,13.35,74.92
marine_marine-debris-aris3k-967.png,tire,1.0,0.9849,0.995,0.8392,14.14,70.74
marine_marine-debris-aris3k-967.png,bottle,0.9964,1.0,0.995,0.8169,14.14,70.74
marine_marine-debris-aris3k-976.png,drink-carton,0.9757,1.0,0.9941,0.7293,12.93,77.31
marine_marine-debris-aris3k-98.png,tire,1.0,0.9849,0.995,0.8392,12.68,78.87
marine_marine-debris-aris3k-98.png,bottle,0.9964,1.0,0.995,0.8169,12.68,78.87
marine_marine-debris-aris3k-983.png,valve,0.9934,1.0,0.995,0.7807,14.55,68.72
marine_marine-debris-aris3k-984.png,drink-carton,0.9757,1.0,0.9941,0.7293,13.25,75.45
marine_marine-debris-aris3k-987.png,valve,0.9934,1.0,0.995,0.7807,12.36,80.93
marine_marine-debris-aris3k-990.png,chain,0.8907,0.8947,0.9656,0.6124,13.18,75.85
marine_marine-debris-aris3k-992.png,chain,0.8907,0.8947,0.9656,0.6124,12.61,79.31
marine_marine-debris-aris3k-992.png,chain,0.8907,0.8947,0.9656,0.6124,12.61,79.31
marine_marine-debris-aris3k-994.png,tire,1.0,0.9849,0.995,0.8392,12.45,80.33
marine_marine-debris-aris3k-994.png,hook,0.9842,1.0,0.995,0.8974,12.45,80.33
mine_sonar83_jpg.rf.d7d3ede15a0476a8184ccc9f645b5955.jpg,mine,0.9492,0.9344,0.9585,0.5123,13.98,71.56
mine_sonar84_jpg.rf.c868661cca1c14bb308bd928c1d1e54e.jpg,mine,0.9492,0.9344,0.9585,0.5123,12.94,77.25
mine_sonar85_jpg.rf.3192057ce4556f7bc56671317c50431d.jpg,mine,0.9492,0.9344,0.9585,0.5123,12.92,77.43
mine_sonar86_jpg.rf.a7bc6bc21f73e1636afa72a097c8878d.jpg,mine,0.9492,0.9344,0.9585,0.5123,14.91,67.08
mine_sonar86_jpg.rf.a7bc6bc21f73e1636afa72a097c8878d.jpg,mine,0.9492,0.9344,0.9585,0.5123,14.91,67.08
mine_sonar87_jpg.rf.2275a8c6356a68f2cd026074fab0fbf9.jpg,mine,0.9492,0.9344,0.9585,0.5123,12.73,78.55
mine_sonar88_jpg.rf.cedf05cfbba72b9bd38de6d126bbbe76.jpg,mine,0.9492,0.9344,0.9585,0.5123,14.36,69.62
mine_sonar89_jpg.rf.54de267b1dd46896035a8017f896e8c9.jpg,mine,0.9492,0.9344,0.9585,0.5123,13.2,75.78
mine_sonar8_jpg.rf.3efb1cf5aba7c2cefc21f1cab852b8ce.jpg,mine,0.9492,0.9344,0.9585,0.5123,11.17,89.54
mine_sonar90_jpg.rf.6dc9e1afcd5f9914f03fdbac8afbbab0.jpg,mine,0.9492,0.9344,0.9585,0.5123,12.5,79.97
mine_sonar91_jpg.rf.1cc5cf29d0846c05146afe5260759ec2.jpg,mine,0.9492,0.9344,0.9585,0.5123,13.26,75.39
mine_sonar92_jpg.rf.20b9433b2d27be0a4842ef5b43d31013.jpg,mine,0.9492,0.9344,0.9585,0.5123,13.14,76.08
mine_sonar92_jpg.rf.20b9433b2d27be0a4842ef5b43d31013.jpg,mine,0.9492,0.9344,0.9585,0.5123,13.14,76.08
mine_sonar94_jpg.rf.1b9070f4aa154d16825d53bd356771b1.jpg,mine,0.9492,0.9344,0.9585,0.5123,13.19,75.81
mine_sonar95_jpg.rf.dc9cc7c34485f915bda19b029373de01.jpg,mine,0.9492,0.9344,0.9585,0.5123,12.92,77.4
mine_sonar96_jpg.rf.a271f0c8428cb264f56e1a25e0c3a91b.jpg,mine,0.9492,0.9344,0.9585,0.5123,13.81,72.4
mine_sonar97_jpg.rf.0af6e66998559e85188360e72524e548.jpg,mine,0.9492,0.9344,0.9585,0.5123,12.88,77.63
mine_sonar98_jpg.rf.f96a3b6a5a2599496693839f96359cc9.jpg,mine,0.9492,0.9344,0.9585,0.5123,12.91,77.46
mine_sonar99_jpg.rf.42ba912455226b1328983b8a958a69d9.jpg,mine,0.9492,0.9344,0.9585,0.5123,13.29,75.22
mine_sonar9_jpg.rf.b7e7154933ddb10f144a7b89327c32a9.jpg,mine,0.9492,0.9344,0.9585,0.5123,13.75,72.73
